,cell_type,gene,avg_logFC,p_val,p_val_adj,de_family,de_method,de_type
1386,cell,BAK1,-0.598654715341793,0.168516531086756,0.315628868106567,pseudobulk,edgeR,QLF
1387,cell,BAMBI,0.98238329727953,0.0912279777388273,0.209219751725637,pseudobulk,edgeR,QLF
1388,cell,BANF1,-0.480969280047069,0.329760847776394,0.494429206810716,pseudobulk,edgeR,QLF
1389,cell,BANF2,0.690577557437082,0.234444525335935,0.392572170076526,pseudobulk,edgeR,QLF
1390,cell,BANK1,0.113426911000785,0.647545654135318,0.768713183613286,pseudobulk,edgeR,QLF
1391,cell,BANP,0.532792589303553,0.149881122537439,0.291115557385016,pseudobulk,edgeR,QLF
1392,cell,BAP1,-0.0356664507978314,0.920844397230934,0.959959182715816,pseudobulk,edgeR,QLF
1393,cell,BARD1,1.10559058241234,0.228620633914,0.385763711214396,pseudobulk,edgeR,QLF
1394,cell,BARHL1,0.666028881463285,0.0594842410140174,0.157465237495523,pseudobulk,edgeR,QLF
1395,cell,BARHL2,-0.336302831787811,0.0571844970188668,0.15338010330686,pseudobulk,edgeR,QLF
1396,cell,BARX1,-0.776109251114151,0.0927766380844155,0.211678269547464,pseudobulk,edgeR,QLF
1397,cell,BARX2,-0.368277451087256,0.444054723970781,0.600752735857118,pseudobulk,edgeR,QLF
1398,cell,BASP1,-0.0814773302496247,0.61942451983328,0.748477982892611,pseudobulk,edgeR,QLF
1399,cell,BATF,0.584528195153263,0.936392922876218,0.968421837802259,pseudobulk,edgeR,QLF
1400,cell,BATF2,-0.529071828185393,0.575244467941279,0.712315037647118,pseudobulk,edgeR,QLF
1401,cell,BATF3,0.398216342675621,0.275896027122662,0.437251482529688,pseudobulk,edgeR,QLF
1402,cell,BAX,-0.366099647739057,0.383009890833743,0.545794215282373,pseudobulk,edgeR,QLF
1403,cell,BAZ1A,1.36447713743143,0.0110609816176995,0.0509531808183086,pseudobulk,edgeR,QLF
1404,cell,BAZ1B,0.472501480312336,0.162216676991753,0.308081199394173,pseudobulk,edgeR,QLF
1405,cell,BAZ2A,0.0205257710069514,0.953069699668145,0.977958429201657,pseudobulk,edgeR,QLF
1406,cell,BAZ2B,1.21786367891767,0.0247134883050451,0.0881060528316301,pseudobulk,edgeR,QLF
1407,cell,BBC3,1.12741347446705,0.0145031086917909,0.0615895730465542,pseudobulk,edgeR,QLF
1408,cell,BBIP1,-0.631409921304313,0.687267480926609,0.79948318875017,pseudobulk,edgeR,QLF
1409,cell,BBLN,-0.995179117301616,0.0372767735346623,0.115726760980113,pseudobulk,edgeR,QLF
1410,cell,BBOF1,0.853398167778667,0.0225993986606594,0.0830426524489515,pseudobulk,edgeR,QLF
1411,cell,BBOX1,-0.290086086712619,0.455936623503749,0.611763894798354,pseudobulk,edgeR,QLF
1412,cell,BBS1,-0.936504183184865,0.0638946513449209,0.165729806269707,pseudobulk,edgeR,QLF
1413,cell,BBS10,1.49067848597493,0.012965060802133,0.0568751607270964,pseudobulk,edgeR,QLF
